Image,Prompt,MOS
deepai_0_0_0_0.jpg,"bird, driving aircraft, city, anime style",2.7934105045636524
deepai_0_0_0_1.jpg,"bird, driving aircraft, city, realistic style",4.159969360254004
deepai_0_0_1_0.jpg,"bird, driving aircraft, wild, anime style",3.4862347848568365
deepai_0_0_1_1.jpg,"bird, driving aircraft, wild, realistic style",2.4619764561843307
deepai_0_1_0_0.jpg,"bird, driving bike, city, anime style",2.6468698299611035
deepai_0_1_0_1.jpg,"bird, driving bike, city, realistic style",2.685595472540848
deepai_0_1_1_0.jpg,"bird, driving bike, wild, anime style",2.751209997568689
deepai_0_1_1_1.jpg,"bird, driving bike, wild, realistic style",2.915541194578608
deepai_0_10_0_0.jpg,"bird, using laptop, city, anime style",2.315683428435662
deepai_0_10_0_1.jpg,"bird, using laptop, city, realistic style",2.8145873408867215
deepai_0_10_1_0.jpg,"bird, using laptop, wild, anime style",2.7142423173161987
deepai_0_10_1_1.jpg,"bird, using laptop, wild, realistic style",2.878534379783441
deepai_0_11_0_0.jpg,"bird, using phone, city, anime style",2.964871092867692
deepai_0_11_0_1.jpg,"bird, using phone, city, realistic style",4.410898610516716
deepai_0_11_1_0.jpg,"bird, using phone, wild, anime style",3.3241957711148444
deepai_0_11_1_1.jpg,"bird, using phone, wild, realistic style",2.3602495612350465
deepai_0_12_0_0.jpg,"bird, wearing coat, city, anime style",2.4569882665449083
deepai_0_12_0_1.jpg,"bird, wearing coat, city, realistic style",3.2262158782300103
deepai_0_12_1_0.jpg,"bird, wearing coat, wild, anime style",3.602957099994629
deepai_0_12_1_1.jpg,"bird, wearing coat, wild, realistic style",3.367134900737525
deepai_0_13_0_0.jpg,"bird, wearing hat, city, anime style",2.2565310193712476
deepai_0_13_0_1.jpg,"bird, wearing hat, city, realistic style",3.0596697236777057
deepai_0_13_1_0.jpg,"bird, wearing hat, wild, anime style",2.055584546985154
deepai_0_13_1_1.jpg,"bird, wearing hat, wild, realistic style",2.0699250367458917
deepai_0_14_0_0.jpg,"bird, wearing shirt, city, anime style",3.01785011693714
deepai_0_14_0_1.jpg,"bird, wearing shirt, city, realistic style",3.7092467706470655
deepai_0_14_1_0.jpg,"bird, wearing shirt, wild, anime style",2.730899468491693
deepai_0_14_1_1.jpg,"bird, wearing shirt, wild, realistic style",3.473402250548638
deepai_0_2_0_0.jpg,"bird, driving car, city, anime style",4.075553053252517
deepai_0_2_0_1.jpg,"bird, driving car, city, realistic style",1.9520389498254767
deepai_0_2_1_0.jpg,"bird, driving car, wild, anime style",2.6803007270463564
deepai_0_2_1_1.jpg,"bird, driving car, wild, realistic style",2.5190716388298653
deepai_0_3_0_0.jpg,"bird, having hamburger, city, anime style",2.8564591739006215
deepai_0_3_0_1.jpg,"bird, having hamburger, city, realistic style",3.3751293125081734
deepai_0_3_1_0.jpg,"bird, having hamburger, wild, anime style",3.356771852987784
deepai_0_3_1_1.jpg,"bird, having hamburger, wild, realistic style",2.9154277029880813
deepai_0_4_0_0.jpg,"bird, having icecream, city, anime style",2.9596150924147335
deepai_0_4_0_1.jpg,"bird, having icecream, city, realistic style",2.4629856966610832
deepai_0_4_1_0.jpg,"bird, having icecream, wild, anime style",2.3303215732235967
deepai_0_4_1_1.jpg,"bird, having icecream, wild, realistic style",2.933034641526733
deepai_0_5_0_0.jpg,"bird, having pizza, city, anime style",2.53781285046323
deepai_0_5_0_1.jpg,"bird, having pizza, city, realistic style",1.987828400909992
deepai_0_5_1_0.jpg,"bird, having pizza, wild, anime style",2.8266829587293714
deepai_0_5_1_1.jpg,"bird, having pizza, wild, realistic style",2.1142921380537385
deepai_0_6_0_0.jpg,"bird, playing baseball, city, anime style",2.8894452529900434
deepai_0_6_0_1.jpg,"bird, playing baseball, city, realistic style",2.4520555123639873
deepai_0_6_1_0.jpg,"bird, playing baseball, wild, anime style",2.8790570773634823
deepai_0_6_1_1.jpg,"bird, playing baseball, wild, realistic style",1.698700921136731
deepai_0_7_0_0.jpg,"bird, playing football, city, anime style",2.7380109587492516
deepai_0_7_0_1.jpg,"bird, playing football, city, realistic style",3.0942994650339286
deepai_0_7_1_0.jpg,"bird, playing football, wild, anime style",2.957250257837281
deepai_0_7_1_1.jpg,"bird, playing football, wild, realistic style",3.0434524751507066
deepai_0_8_0_0.jpg,"bird, playing yoga, city, anime style",2.6334824596092368
deepai_0_8_0_1.jpg,"bird, playing yoga, city, realistic style",2.9097179515368636
deepai_0_8_1_0.jpg,"bird, playing yoga, wild, anime style",2.4279722965847936
deepai_0_8_1_1.jpg,"bird, playing yoga, wild, realistic style",1.6631885099764177
deepai_0_9_0_0.jpg,"bird, using CD, city, anime style",2.9932162205615156
deepai_0_9_0_1.jpg,"bird, using CD, city, realistic style",3.9638100881446268
deepai_0_9_1_0.jpg,"bird, using CD, wild, anime style",3.278513421292411
deepai_0_9_1_1.jpg,"bird, using CD, wild, realistic style",1.8454857204806403
deepai_1_0_0_0.jpg,"cat, driving aircraft, city, anime style",2.5398185040436014
deepai_1_0_0_1.jpg,"cat, driving aircraft, city, realistic style",3.8156485844782906
deepai_1_0_1_0.jpg,"cat, driving aircraft, wild, anime style",3.2830132385885658
deepai_1_0_1_1.jpg,"cat, driving aircraft, wild, realistic style",3.91937154614685
deepai_1_1_0_0.jpg,"cat, driving bike, city, anime style",2.7059238059805066
deepai_1_1_0_1.jpg,"cat, driving bike, city, realistic style",2.0356427853424925
deepai_1_1_1_0.jpg,"cat, driving bike, wild, anime style",2.438638069320326
deepai_1_1_1_1.jpg,"cat, driving bike, wild, realistic style",2.7453446718756314
deepai_1_10_0_0.jpg,"cat, using laptop, city, anime style",2.0465949943726742
deepai_1_10_0_1.jpg,"cat, using laptop, city, realistic style",2.8099901339053663
